ID,Name,Lat,Lon,Type
238,"B-16, MH SH 35, Saikrupa, Purna",19.2631274,73.02861701,
239,Tower B,18.99918013,72.8289638,
240,Qadri Road,19.06827448,72.87101979,
241,Bandar Rd,18.99217465,73.09728537,
242,"0, Jasmine Mill Rd, kamla Nagar, Shammi Nagar, Mahim",19.04139547,72.84930729,
243,Unnamed Road,19.22921278,72.93965528,
244,Manpada Rd,19.19124581,73.092163,
245,"600, Dhobhi Ghat, Anand Nagar, Vakola, Santacruz East",19.08192852,72.84959087,
246,"K-157, Devidas Rd, Borivali West",19.23840005,72.8565563,
247,"B-1, Eastern Express Hwy, Navghar, Mulund East",19.16544595,72.96334769,
248,Sagar Vihar Marg,19.07295871,72.98537155,
249,"0, Ashok Samrat Rd, ATI Staff CHS, Chunabhatti, Sion",19.05750902,72.88123987,
250,Sandesh Building,18.96576045,72.8467907,
251,JNPT Rd,18.96846794,73.11877504,
252,Global Pagoda Road,19.22847345,72.80384251,
253,Indira Apartments,19.05015896,72.91473388,
254,Metallurgical Engineering and Material Science Depatment,19.131233,72.91690521,
255,"0-11, Military Rd, Sankasth Pada Welfare Society, Raje Shivaji Nagar, Marol, Andheri East",19.11708692,72.88050892,
256,Puranik Rumah Bali Internal Road,19.28148355,72.9534816,
257,Nilaje Station Road,19.1542173,73.08282847,
258,Haji Bunder Rd,18.98002232,72.85741296,
259,Hermitage Housing Society Rd,19.2656495,72.88030792,
260,Mulund - Airoli Rd,19.15363633,72.97797739,
261,"0, Shanti Road, Juhu Tara, Juhu",19.11244801,72.82292272,
262,"100, Belapur Rd, Sector 11, CBD Belapur",19.01411026,73.04726014,
263,Litoliar Chamber,19.10770523,72.88018552,
264,H R Mahajani Marg,19.02182623,72.85576221,
265,"500, Food Corporation of India Warehouse",19.22057712,72.86236799,
266,Unnamed Road,19.10290271,73.05705756,
267,Bldg#22 Riverwood Park,19.15767585,73.0744065,
268,NH48,19.30088339,72.90427484,
269,"0, Lokmanya Tilak Marg, Lohar Chawl, Kalbadevi",18.94583283,72.83322441,
270,Shil Phata - Mahape Rd,19.13885446,73.03098257,
271,Nehal plot 22 sector 8,19.17315395,72.81611404,
272,Chembur Castle,19.0538243,72.90605549,
273,"0, Thane - Belapur Rd, MIDC INDL Area, Airoli",19.14673985,73.00032023,
274,Uttan Rd,19.26100157,72.79253459,
275,Unnamed Road,19.22938488,73.04322244,
276,"0, Royal Palms",19.15595663,72.88684255,
277,"0, Santoshi Mata Mandir Marg, Sector 3, Ghansoli",19.11507256,73.0048821,
278,"Plot No -57, Main Rd, Sector 6A, Kamothe, Panvel",19.02627374,73.09416956,
279,Wadeghar Main Road,19.24964281,73.12205684,
280,"500, Swatantrya Veer Sawarkar Marg, Prabhadevi",19.01512959,72.82425926,
281,Gaimukh Mandir,19.28300702,72.9381213,
282,Unnamed Road,19.14182585,72.9646848,
283,"0, Khan Abdul Gaffar Khan Road, Dairy Colony, Worli",18.99624703,72.80985882,
284,"0, Gaikwad Nagar",19.18248306,72.81156632,
285,"Plot No.24, RSC Rd Number 22, Sector 5, Sector 8, Charkop Gaon, Kandiwali West",19.21632532,72.82080332,
286,Unnamed Road,19.14769905,73.08505551,
287,Uttan Rd,19.25273384,72.7872502,
288,Unnamed Road,19.17706774,73.09698909,
289,SP Road,19.24948924,72.87540972,
290,"0, Atmaram Sawant Rd, Ashok Nagar, Kandivali East",19.19951395,72.85767437,
291,"0, Panvel Matheran Rd, Mangaldeep Society, Sukapur, New Panvel East, Panvel",19.00222893,73.1319905,
292,omkar krishna park plot no 106,18.98636054,73.13768956,
293,Port Trust Rd,19.00435263,72.88400965,
294,"WING-B, RNP Park Rd, RNP Park, Neeraj Park, Bhayandar East",19.31921512,72.86077471,
295,"0, Navpada",19.10523796,72.83838523,
296,Port Trust Rd,19.0105875,72.89101968,
297,Unnamed Road,19.18195037,72.88671585,
298,Siddique Complex Road,19.1589822,73.02588331,
299,"0, Uttan Rd, Aagri, vaijnath talao, Uttan",19.28763639,72.80914932,
300,"100, Barrister Nath Pai Marg, Sewari East, Naralwadi, Sewri",18.97368531,72.8442801,
301,"0, Mankhurd West",19.05331362,72.93312534,
302,Ganesh Darshan Co Operative Housing Society,18.96084247,72.83656834,
303,Marine Dr,18.94993214,72.81519131,
304,Vikas Building,18.93072654,72.83371616,
305,Eid Gah Rd,19.23816199,73.1213307,
306,Unnamed Road,19.26381244,72.80000891,
307,"0, Uttan Pali Rd, Dongri, Uttan",19.29565097,72.78345734,
308,Sandeep Bhoir Road,19.16008371,73.06340575,
309,"1st Pasta Ln, Cusrow Baug Colony, Apollo Bandar, Colaba",18.91803978,72.82821677,
310,R-851,19.14637429,73.01617738,
311,"0/19, AK Nayak Marg, Azad Maidan, Fort",18.93838196,72.83415633,
312,CMS Info Systems,19.11386202,73.01462618,
313,"0, Balasaheb Sawant Rd, Gharkul Society, Ratan Nagar, Four Bungalows, Andheri West",19.12742375,72.82050553,
314,"A-1, Gokul Towers Rd, Dattani Park, Thakur Village, Kandivali East",19.21045677,72.87122232,
315,"0 & 3B, Pipe Line Rd, Kailash Nagar, Morarji Nagar, Powai",19.13517173,72.90314456,
316,Dadwala Cooperative Society,19.02895045,72.85384247,
317,DAKC Rd,19.10573668,73.01751865,
318,Diva Shil Rd,19.15179046,73.05011446,
319,Gagangiri Maharaj Marg,19.13962642,72.98426034,
320,"0, Ghodbunder Rd, Dongripada, Thane West",19.25786858,72.96571318,
